facility_name,street,city,state,zip,violation_program,violation_type,inspection_date,naics_code
215954 LA 5 WIDENING,FROM ORANGE COUNTY TO LOS ANGELES COUNTY LIMIT LIN,SANTA FE SPRINGS,CA,90670,CWA,No,,
2193 ANCHOR COURT,2193 ANCHOR COURT,THOUSAND OAKS,CA,91320,CWA,No,10/27/2023,
220 LABORATORIES INC,2375 3RD STREET,RIVERSIDE,CA,92507,CWA,No,02/11/2020,
22ND DISTRICT AGRICULTURAL ASSOCIATION - FIREWORKS EVENT LOCATION,2260 JIMMY DURANTE,DEL MAR,CA,92014,CWA,No,,
22ND DISTRICT AGRICULTURAL ASSOCIATION - FIREWORKS EVENT LOCATIONS,2260 JIMMY DURANTE,DEL MAR,CA,92014,CWA,No,,
23401 23421 MULHOLLAND CALABASAS,23401 MULHOLLAND HIGHWAY,CALABASAS,CA,91302,CWA,No,11/30/2021,111998
238 AND 580,NORTHWEST GORE AREA OF ROUTE 238 AND 580,HAYWARD,CA,94541,CWA,No,,
24 AUTO SALVAGE AND PARTS INC,1807 EAST M STREET,WILMINGTON,CA,90744,CWA,No,09/29/2021,
24 HOUR SOLUTIONS PALLETS INC,13983 SLOVER AVENUE,FONTANA,CA,92337,CWA,No,,
24 HR SOLUTIONS PALLETS INC,13983 SLOVER AVE,FONTANA,CA,92336,CWA,Yes,06/22/2023,
247 W. 3RD ST,247 W. 3RD ST,SAN BERNARDINO,CA,92401,CWA,No,,
2555 PARK BOULEVARD,2555 PARK,PALO ALTO,CA,94306,CWA,No,,
2555 SOUTH MANSFIELD AVENUE PROJECT,2555 SOUTH MANSFIELD,LOS ANGELES,CA,90016,CWA,No,,
2580 CALIFORNIA STREET,2580 CALIFORNIA,MOUNTAIN VIEW,CA,94040,CWA,No,,
25TH STREET,2121 EAST 25TH STREET,LOS ANGELES,CA,90058,CWA,No,,
2600 SAN TOMAS,2600 SAN TOMAS EXPRESSWAY,SANTA CLARA,CA,95050,CWA,No,,
262004 WILLITS BYPASS MASTER,300 EAST HILL ROAD,WILLITS,CA,95490,CWA,No,,
265014 LS IRRIGATION PLANTING AND ELECTRICAL,I5 AND SR163,SAN DIEGO,CA,92101,CWA,No,,
2655 STOKES CANYON ROAD,2655 STOKES CANYON ROAD,CALABASAS,CA,91302,CWA,No,,
26G-STV - PRODUCED WATER SUBSTATION,N35 16.061 / W119 26.165,TAFT,CA,93268,CWA,No,07/31/2012,
272404 LA 5 PLANTING AND IRRIGATION,INDIANA STREET UC TO BOYLE AVE OC,LOS ANGELES,CA,90023,CWA,No,,
27501 S WESTERN AVE,27501 S WESTERN AVENUE,RANCHO PALOS VERDES,CA,90274,CWA,No,11/20/2018,
2751  AIELLO DR SUITE A.,SAN JOSE,SAN JOSE,CA,95111,CWA,No,,
2755 BELLA VISTA,2755 BELLA VISTA DRIVE,MONTECITO,CA,93108,CWA,No,,
27760 GRAND AVE,27760 GRAND AVE,WILDOMAR,CA,92595,CWA,No,,
28 TEABERRY LANE,28 TEABERRY LANE,TIBURON,CA,94920,CWA,No,,
280 DILLON,280 DILLON AVE,CAMPBELL,CA,95008,CWA,No,,
284204 LA 5 IMPROVEMENT,5 AND 10 SEPARATION TO 5 AND 134 SEPARATION,LOS ANGELES,CA,90039,CWA,No,,
2847 LEEWARD,2841-2847 LEEWARD,LOS ANGELES,CA,90005,CWA,No,,
29 DEL MAR,29 DEL MAR,NEWPORT COAST,CA,92657,CWA,No,,
2920,2920 ROWENA AVENUE,LOS ANGELES,CA,90039,CWA,No,,
"2A9204 ED,PLA 89  LAKESIDE",HIGHWAY 89,TAHOE CITY,CA,96145,CWA,No,,
2M MACHINE CORPORATION,13171 ROSECRANS AVE,SANTA FE SPRINGS,CA,90670,CWA,No,08/30/2021,
2M MACHINING AND MANUFACTURING,8630 SANTA FE AVE,SOUTH GATE,CA,90280,CWA,No,08/19/2019,
2ND AND PCH,6400 EAST PACIFIC COAST,LONG BEACH,CA,90803,CWA,No,,
2ND STREET WIDENING,2ND STREET,CALEXICO,CA,92231,CWA,No,,
2PLANK VINEYARDS,2379 LA MIRADA DR,VISTA,CA,92083,CWA,No,,
2T2004 SD I805 N DB BRIDGE WIDENINGS AND HOV LANE,SR 52 TO HALF  MI N OF MIRA MESA,SAN DIEGO,CA,92122,CWA,No,,
3 LOT SUBDIVISION,5531 S OHIO ST,YORBA LINDA,CA,92886,CWA,No,,
3 NEW SINGLE FAMILY HOUSE,939 959 DELANEY DR,WALNUT,CA,91789,CWA,No,02/15/2022,
3-D POLYMERS,13026 S NORMANDIE AVE,GARDENA,CA,90249,CWA,No,,
30 LRS VEHICLE MAINTENANCE FACILITY,CALIFORNIA AVE,VANDENBERG AFB,CA,93437,CWA,No,,
300 EL CAMINO REAL,300 EL CAMINO REAL,MENLO PARK,CA,94025,CWA,No,,
303 BALDWIN AVENUE,303 BALDWIN,SAN MATEO,CA,94401,CWA,No,,
303 HAYWORTH,303 NORTH HAYWORTH,LOS ANGELES,CA,90048,CWA,No,,
3122 SOUTH RIVERSIDE AVENUE PROPERTY,3122 SOUTH RIVERSIDE AVENUE,BLOOMINGTON,CA,92316,CWA,No,,
31537 ANACAPA VIEW DR,31537 ANACAPA VIEW DR,MALIBU,CA,90265,CWA,No,,
3163 LLC,3131 SANKEY RD,PLEASANT GROVE,CA,95668,CWA,No,,
31801 VIOLETA LANE,31801 VIOLETA LANE,COTO DE CAZA,CA,92679,CWA,No,,
32 ARCE PARCEL,NEC BASTANCHURY & CASA LOMA AVE,YORBA LINDA,CA,92886,CWA,No,,
32 COLD LLC,6700 ALAMEDA ST,HUNTINGTON PARK,CA,90255,CWA,No,02/06/2018,
320 LA CIENEGA DEVELOPMENT,320 LA CIENEGA,LOS ANGELES,CA,90048,CWA,No,04/22/2022,
32036 LIVE OAK CANYON,32036 LIVE OAK CANYON,REDLANDS,CA,92373,CWA,No,,
"325 27TH STREET, OAKLAND, CA",325 27TH,OAKLAND,CA,94612,CWA,No,,
328 WEST BROKAW ROAD,328 WEST BROKAW,SANTA CLARA,CA,95052,CWA,No,,
3295 CASTRO VALLEY BOULEVARD ALAMEDA COUNTY REDEVELOPMENT AGENCY,3295 CASTRO VALLEY,CASTRO VALLEY,CA,94546,CWA,No,,
32ND ST NAVSTA DESALINATION,32ND STREET NAVAL STATION,SAN DIEGO,CA,92136,CWA,No,,
3303 SUNSET,3303 SUNSET,LOS ANGELES,CA,90026,CWA,No,,
33051 MULHOLLAND HWY,33051 MULHOLLAND HWY,WESTLAKE VILLAGE,CA,90265,CWA,No,07/11/2019,
3333 SCOTT BOULEVARD,3333 SCOTT BOULEVARD,SANTA CLARA,CA,95054,CWA,No,,
3336 FRUITLAND AVE LLC,3336 FRUITLAND AVEW,VERNON,CA,90058,CWA,No,05/11/2021,
"3400 HILLVIEW AVENUE, PALO ALTO",3400 HILLVIEW,PALO ALTO,CA,94304,CWA,No,,
34METRO LINES-SEGMENTS 1 & 2A,GREATER LOS ANGELES,LOS ANGELES,CA,90017,CWA,No,11/30/2005,
359 N. ALFRED STREET,359 NORTH ALFRED,LOS ANGELES,CA,90048,CWA,No,,
"360 DESTINATION GROUP, FIREWORKS EVENT LOCATION",NOT APPLICABLE,SAN DIEGO,CA,92101,CWA,No,,
